Component;price
2 ICC timer NE555P;1,01 euro
1 Expansion GIP pins 4017;3,19euro
20 LEDs;1,83 euro
4 resistors;<1euro
1 variable resistor;1,62 euro
4 capacitors ( one is polarised );3,39 euro
6 pin headers (2*03);1,09 euro
TTP223 Sensor;< 1 euro 
Total Price for component;14,13 euro
Money needed to complete the project for components ;11.97 euro
;14,09 dollar
PCB price;7,32 euro
Total price for the project in euro;19,29 euro
Total price for the project in dollar;22,71 dollar



